id;nome;cep;endereco;
14816;FORT JD LJ 379;88095500;RUA ELESBAO PINTO DA LUZ, 1183, FLORIANOPOLIS, BRASIL;
15117;FORT BLUMENA LJ 480;89052381;VIA EXPRESSA PAUL FRITZ KUEHNRICH, 1400, BLUMENAU, BRASIL;
15579;FORT NAVEGANTES LJ37;88370232;RUA: VEREADOR NEREU LIBERATO NUNES, 571, NAVEGANTES, BRASIL;
17081;FORT ARARANGUA;88905018;RUA PORFIRIO LOPES DE AGUIAR, 635, ARARANGUA, BRASIL;
18247;FORT RIO TAVARES;88048300;RODOVIA DOUTOR ANTONIO LUIZ MOURA GONZAG, FLORIANOPOLIS, BRASIL;
15705;ATACADAO JOINVILLE;89216500;RODOVIA BR 101 KM 40, 0, JOINVILLE, BRASIL;
15806;ATACADAO FLORIPA;88070120;AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 469, FLORIANOPOLIS, BRASIL;
410;BRASIL ATAC BARREIRO;88111130;RUA ARNOLDO PEDRO MEIRA, 547, SAO JOSE, BRASIL;
420;BRASIL ATACADISTA;89160113;RUA ARISTILIANO RAMOS,1377, RIO DO SUL, BRASIL;
14017;BRASIL AT RIO DO SU;89163610;EST BOA ESPERANCA, 240, RIO DO SUL, BRASIL;
12745;MUFFATO MAX CIC;81270200;AV JUSCELINO KUBITSCHEK DE OLIVEIRA 2651, CURITIBA, BRASIL;
16359;COMBO SCO JOSE LJ 04;88110639;RUA MENINO JULIO CESAR, SN, SAO JOSE, BRASIL;
17371;AU AU CENTRAL;80430180;AV DOUTOR CARLOS DE CARVALHO, 1000, CURITIBA, BRASIL;
17373;AU AU LANCHES;80730200;AL DOUTOR CARLOS DE CARVALHO, 1011, CURITIBA, BRASIL;
17804;AU AU - ARENAS BATEL;80730201;AL DOUTOR CARLOS DE CARVALHO, 990, CURITIBA, BRASIL;
18363;AU AU BATEL;80730200;ALD DOUTOR CARLOS DE CARVALHO, 1011, CURITIBA, BRASIL;
4538;ANGELONI BIGORRILHO;80730201;ALAMEDA DR CARLOS DE CARVALHO, 2050, CURITIBA, BRASIL;
18301;SUPERMERCADOS ANGELO;88036580;RUA PROF SIMAO JOSE HESS, 190, FLORIANOPOLIS, BRASIL;
1146;CONDOR LJ13 SITIO C.;81910000;RUA IZAAC FERREIRA DA CRUZ, 3868, CURITIBA, BRASIL;
2088;CONDOR LJ24 STA CAND;82620300;AV MARECHAL MASCARENHAS DE MORAES, 312, CURITIBA, BRASIL;
2100;CONDOR LJ09 LONDRINA;86026080;RUA: RIO GRANDE DO SUL,50, LONDRINA, BRASIL;
2108;CONDOR LJ18 CENT. PG;84010000;RUA DR VICENTE MACHADO, 98, PONTA GROSSA, BRASIL;
3836;CONDOR CAMPO LARGO;83601010;RUA XAVIER DA SILVA, 657, CAMPO LARGO, BRASIL;
4307;CONDOR LJ32 UVARANAS;84025000;AV GENERAL CARLOS CAVALCANTI, 707, PONTA GROSSA, BRASIL;
4429;CONDOR LJ27 NV. MUND;81050080;RUA VISCONDE DE SERRO FRIO, 46, CURITIBA, BRASIL;
5867;CONDOR JOINVILLE;83020000;RUA JOINVILLE, 3001, SAO JOSE DOS PINHAIS, BRASIL;
16263;GIGANTE ATACADISTA;81270200;AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 229, CURITIBA, BRASIL;
16509;CONDOR MARINGA LJ60;87015001;AV DOUTOR LUIZ TEIXEIRA MENDES, 850, MARINGA, BRASIL;
401;IMPERATRIZ KOBRASOL;88102101;DELAMAR JOSE DA SILVA, SN, SAO JOSE, BRASIL;
707;IMPERATRIZ CAMBORIU;88330000;AV ALBERTO SANTOS DUMONT, SN, BALNEARIO CAMBORIU, BRASIL;
12473;IMPERATRIZ GAMA DECA;88015240;AV PROF OTHON GAMA DECA, 771, FLORIANOPOLIS, BRASIL;
18125;SUPERMERCADOS IMPERA;88062120;RUA MANOEL SEVERINO DE OLIVEIRA, 637, FLORIANOPOLIS, BRASIL;
18312;BRASIL ATAC PORTO BE;88210000;AV GOVERNADOR CELSO RAMOS, 2337, PORTO BELO, BRASIL;
1884;BIG - IGUATEMI;88035000;AV. MADRE BENVENUTA, 687 LOJA 11, FLORIANOPOLIS, BRASIL;
3189;BIG - PORTAO;80320300;AV. PRESIDENTE ARTHUR BERNARDES, N. 2200, CURITIBA, BRASIL;
